,Player,Playtype,# Seasons,Season,Avg. GP,Avg. # Poss,Avg. Freq,Avg. PPP,Avg. Pts,Avg. EFG%,Avg. FT Freq,Avg. TOV Freq,Avg. SF Freq,Avg. Score Freq,Avg. Percentile
1800,Rodney McGruder,pr_ballhandler,1,Playoffs,4.0,0.5,50.0,1.0,0.5,50.0,0.0,0.0,0.0,50.0,0.0
1801,Danuel House Jr.,pr_ballhandler,2,Playoffs,6.0,0.25,3.75,0.5,0.15,25.0,0.0,0.0,0.0,25.0,0.0
1802,Dahntay Jones,pr_ballhandler,2,Playoffs,12.0,0.15,10.85,0.5,0.0,25.0,0.0,50.0,0.0,25.0,0.0
1803,Derrick Williams,pr_ballhandler,1,Playoffs,8.0,0.3,10.5,1.0,0.0,100.0,0.0,50.0,0.0,50.0,0.0
1804,Terrence Ross,pr_ballhandler,3,Playoffs,10.0,3.2,25.07,0.65,2.5,33.0,3.9,25.2,3.9,30.33,35.0
1805,Jordan Poole,pr_ballhandler,1,Playoffs,11.0,5.3,29.9,1.02,5.4,52.0,17.2,17.2,13.8,44.8,81.0
1806,George Hill,pr_ballhandler,6,Playoffs,12.0,3.17,30.82,0.81,2.7,47.0,10.5,19.0,8.5,37.98,44.0
1807,Tyrese Maxey,pr_ballhandler,2,Playoffs,12.0,3.2,31.8,1.02,3.25,52.0,10.4,8.9,10.4,48.2,73.0
1808,Ben Simmons,pr_ballhandler,3,Playoffs,11.0,2.1,12.93,0.93,2.0,66.0,11.8,27.2,10.9,48.33,59.0
1809,Pascal Siakam,pr_ballhandler,3,Playoffs,14.0,2.9,13.5,0.92,2.93,48.0,14.7,12.0,14.7,46.9,59.0
1810,Shake Milton,pr_ballhandler,3,Playoffs,9.0,2.9,34.67,0.97,2.8,56.0,10.6,19.7,9.6,40.93,46.0
1811,Eric Gordon,pr_ballhandler,4,Playoffs,13.0,2.57,16.6,0.83,2.05,41.0,10.8,13.5,9.9,36.25,49.0
1812,Kevin Huerter,pr_ballhandler,2,Playoffs,12.0,2.55,22.0,0.87,2.3,39.0,9.4,3.5,9.4,38.2,49.0
1813,Jayson Tatum,pr_ballhandler,5,Playoffs,12.0,4.66,18.8,0.91,4.2,50.0,10.8,17.8,8.4,40.7,56.0
1814,Jonathon Simmons,pr_ballhandler,3,Playoffs,8.0,1.57,24.43,0.73,1.13,32.0,14.9,2.9,14.9,40.63,38.0
1815,Patty Mills,pr_ballhandler,4,Playoffs,10.0,3.62,37.77,0.88,3.1,49.0,10.9,16.4,8.1,39.98,58.0
1816,Russell Westbrook,pr_ballhandler,6,Playoffs,8.0,8.93,27.58,0.71,6.63,37.0,11.0,15.2,9.8,35.27,26.0
1817,Kentavious Caldwell-Pope,pr_ballhandler,3,Playoffs,10.0,1.6,12.43,0.46,1.43,22.0,4.9,41.0,4.9,20.17,30.0
1818,Jalen Brunson,pr_ballhandler,2,Playoffs,10.0,4.05,28.3,1.04,4.3,51.0,12.7,1.4,9.6,46.2,72.0
1819,RJ Barrett,pr_ballhandler,1,Playoffs,5.0,2.8,18.9,1.07,3.0,46.0,21.4,0.0,21.4,50.0,78.0
1820,LeBron James,pr_ballhandler,5,Playoffs,18.0,6.28,23.04,0.99,6.24,56.0,15.4,16.1,13.9,45.78,70.0
